S0 f (kHz),S0 Phase velocity (m/ms),S0 Energy velocity (m/ms),S0 Propagation time (micsec),S0 Coincidence angle (deg),S0 Wavelength (mm),S0 Wavenumber (rad/mm),S0 Attenuation (Np/m),S1 f (kHz),S1 Phase velocity (m/ms),S1 Energy velocity (m/ms),S1 Propagation time (micsec),S1 Coincidence angle (deg),S1 Wavelength (mm),S1 Wavenumber (rad/mm),S1 Attenuation (Np/m),S2 f (kHz),S2 Phase velocity (m/ms),S2 Energy velocity (m/ms),S2 Propagation time (micsec),S2 Coincidence angle (deg),S2 Wavelength (mm),S2 Wavenumber (rad/mm),S2 Attenuation (Np/m)
0.001,6.73544767856598,6.73544128287165,14.8468371707585,2.91902742126037,6735447.67856598,9.32853405895259e-07,0,1095.01416015625,20.0330043475348,-0.0697011748740772,-1434.69604609479,0.981051686429115,18.294744558076,0.343442090007534,0,1325.07779947917,20.0123389135662,2.42106014425015,41.3042196566215,0.982064853533283,15.1027652273943,0.416028800857127,0
8.5,6.73532726049423,6.73509909400161,14.8475914911277,2.91907965451948,792.391442411086,0.00792939571389253,0,1094.99153645834,19.9330043475348,-0.0668979417077125,-1494.81430141626,0.985973916311299,18.2037976403055,0.345157940740223,0,1326,19.9123389135662,2.43385688993842,41.08705011104,0.986997281452391,15.0168468428101,0.418409095660978,0
17,6.73498494148254,6.73407206172794,14.8498559390736,2.91922815106551,396.175584793091,0.015859597482417,0,1094.97574869792,19.8330043475348,-0.0640385943040125,-1561.55832411415,0.990945790336583,18.1127338857678,0.346893260112248,0,1334.5,19.0638374115368,2.54981848236411,39.2184779785905,1.03093162272532,14.2853783525941,0.439833314323007,0
25.5,6.73441415071487,6.73235934537859,14.8536337515383,2.91947579131367,264.094672577054,0.0237914125486434,0,1094.9599609375,19.7330043475348,-0.0611248822151657,-1635.99497252183,0.995968063393636,18.0216675052112,0.348646167473831,0,1343,18.3314577213606,2.66222120225874,37.5626187317401,1.07212419102905,13.6496334485187,0.460318977126924,0
34,6.73361449718475,6.72995944923818,14.8589305410034,2.91982279544402,198.047485211316,0.031725650545249,0,1094.94417317709,19.6330043475348,-0.0581510900684425,-1719.65821934382,1.00104150575499,17.9305984985223,0.350416931576345,0,1351.5,17.692261277514,2.77157959254362,36.0805081221661,1.11086329526663,13.0908333536914,0.479968321146477,0
42.5,6.73258692990396,6.726870280724,14.8657541808933,2.9202688223495,158.413810115387,0.0396631158773529,0,1094.92838541667,19.5330043475348,-0.0551063867569763,-1814.67169025268,1.00616690347096,17.8395268655873,0.352205826674694,0,1360,17.1290994822325,2.87827306341018,34.743055226845,1.14739049727133,12.5949260898769,0.498866389714639,0
51,6.73132457955525,6.72309005394833,14.8741128257344,2.92081694607805,131.986756461868,0.0476046648588934,0,1094.91259765625,19.4330043475348,-0.0520200359637646,-1922.33623347851,1.01134505877572,17.7484526062926,0.354013132668924,0,1368.5,16.6288958346402,2.98257764026713,33.5280458922248,1.18190927403102,12.1511843877531,0.517084187572056,0
59.5,6.7298372349811,6.71861647250623,14.8840167330905,2.92146302851047,113.106508150943,0.0555510501552621,0,1094.89680989584,19.3330043475348,-0.0488617366435707,-2046.59119526318,1.01657679050598,17.6573757205248,0.35583913525021,0,1377,16.1814792421728,3.08469462020098,32.418119882961,1.214593800094,11.7512558040471,0.534682029899792,0
68,6.72811282162569,6.71343629503454,14.8955014399948,2.92221244846644,98.9428356121424,0.0635031861408316,0,1094.88102213542,19.2330043475348,-0.0456387792559044,-2191.11907965993,1.02186293453275,17.5662962081701,0.357684126051415,0,1385.5,15.7787944234049,3.1847705768845,31.3994360302791,1.24559582587097,11.3885199735871,0.551712191026747,0
76.5,6.7261595867012,6.70756077471743,14.9085492265574,2.92306177767441,87.9236547281203,0.0714618304551672,0,1094.865234375,19.1330043475348,-0.0423512895034807,-2361.20319292241,1.02720434420662,17.4752140691149,0.359548402802361,0,1394,15.4143686440447,3.28291200069716,30.4607616587846,1.27504894990252,11.0576532597164,0.56822050389928,0
85,6.72396556979332,6.70096921608154,14.9232143553222,2.92401639581304,79.1054772916862,0.0794279425685222,0,1094.85628255209,19.0330043475348,-0.0390027499333878,-2563.92177912554,1.03260189081711,17.3840207622221,0.361434526173244,0,1402.5,15.0829492883177,3.37919256118573,29.5928681746715,1.30307052460285,10.7543310433638,0.58424696820699,0
93.5,6.72154243238539,6.69366571923078,14.9394971596358,2.92507142959514,71.888154357063,0.0874022342536641,0,1094.84733072917,18.9330043475348,-0.0355752278689934,-2810.94474976386,1.03805646406659,17.2928259640779,0.363340573728755,0,1411,14.7802099247132,3.47366385024961,28.7880475230251,1.32976573920039,10.4749893158846,0.599827371437176,0
102,6.71888146782702,6.68564169241851,14.9574273645863,2.92623089112661,65.8713869394806,0.0953856537581677,0,1094.83154296875,18.8330043475348,-0.0320919589544683,-3116.04536643833,1.04356897255925,17.2017370786259,0.365264582202387,0,1419.5,14.5025604554224,3.56636029943069,28.0397917215385,1.35522862041194,10.216668161622,0.614993577924144,0
110.5,6.71597604793864,6.67686869567059,14.9770805085387,2.92749791977662,60.7780637822501,0.103379162088651,0,1094.82259114584,18.7330043475348,-0.0285303923396925,-3505.03416880378,1.04914034430577,17.1105387293195,0.367211424875426,0,1428,14.2469946175608,3.65730280027152,27.3425541884517,1.3795436778881,9.97688698708736,0.629774128474306,0
119,6.71283108979961,6.66740003168599,14.9983501102022,2.92887064676113,56.4103452924337,0.111383564036123,0,1094.81363932292,18.6330043475348,-0.0248954336595543,-4016.80088676111,1.05477152724429,17.0193388886334,0.369179164260952,0,1436.5,14.0109652406323,3.74650378440073,26.6915518453148,1.40278814149884,9.7535435020065,0.644195138503971,0
127.5,6.70943672173817,6.65717237988967,15.0213926113864,2.93035368334766,52.6230331116719,0.11939990790432,0,1094.8115234375,18.5330043475348,-0.0212006402577514,-4716.83867959779,1.0604634897782,16.928031858255,0.371170456187177,0,1445,13.7923088244325,3.8339719201089,26.0826114754538,1.42503179916681,9.54485039753117,0.658280124411879,0
136,6.70580248058063,6.64617040504987,15.0462588085341,2.93194318957489,49.3073711807399,0.127428925061693,0,1094.80257161459,18.4330043475348,-0.0174166615870473,-5741.62846882032,1.06621722133142,16.8368296033049,0.373181023697375,0,1453.5,13.5891710882795,3.91970724624355,25.5121093790448,1.44633838084951,9.34927491453695,0.672050545589372,0
144.5,6.70191712187686,6.63442888792896,15.072887461639,2.93364443612818,46.3800492863451,0.135471725534139,0,1094.80045572917,18.3330043475348,-0.0135560053480892,-7376.80440750897,1.07203373292193,16.7455212971431,0.37521586791398,0,1462,13.399954883078,4.0037090156513,24.976840127262,1.46676606475468,9.16549581605881,0.685525958799834,0
