A0 f (kHz),A0 Phase velocity (m/ms),A0 Energy velocity 1 (m/ms),A0 Energy velocity 2 (m/ms),A0 Energy velocity absolute (m/ms),A0 Skew angle (deg),A0 Propagation time (micsec),A0 Coincidence angle (deg),A0 Wavelength (mm),A0 Wavenumber (rad/mm),A0 Attenuation (Np/m),A1 f (kHz),A1 Phase velocity (m/ms),A1 Energy velocity 1 (m/ms),A1 Energy velocity 2 (m/ms),A1 Energy velocity absolute (m/ms),A1 Skew angle (deg),A1 Propagation time (micsec),A1 Coincidence angle (deg),A1 Wavelength (mm),A1 Wavenumber (rad/mm),A1 Attenuation (Np/m),A2 f (kHz),A2 Phase velocity (m/ms),A2 Energy velocity 1 (m/ms),A2 Energy velocity 2 (m/ms),A2 Energy velocity absolute (m/ms),A2 Skew angle (deg),A2 Propagation time (micsec),A2 Coincidence angle (deg),A2 Wavelength (mm),A2 Wavenumber (rad/mm),A2 Attenuation (Np/m)
0.001,0.00330933389663696,0.273091566426527,-0.156966093710396,0.314987869969614,29.889194988921,366.177547364519,90,3309.33389663696,0.00189862537399588,0,587.012235173863,20.0604812727561,1.69165252649704,-1.54919982653581,2.29384140100017,42.4831657830891,59.1137946083249,0.979707804757972,34.1738724863453,0.183859330243891,0,679.562797958429,20.0706125236763,0.488743355407778,0.330702748211264,0.59011386624086,-34.0838092948565,204.606362201213,0.979213219337466,29.5345957488745,0.212739844506558,0
8.5,0.299327865695953,0.576891865848719,-0.312551877853536,0.656119578455169,28.4482101480931,173.342711034555,90,35.2150430230533,0.178423331843336,0,587.282686465102,19.9604812727561,1.69993543803911,-1.55682062597216,2.30509673440261,42.483814422224,58.8257634744947,0.984616524161332,33.9878592248305,0.184865579959484,0,679.645428014322,19.9706125236763,0.491236377443738,0.332257073375595,0.593049695499595,-34.0732031455021,203.567985987465,0.98411697121109,29.3838694420753,0.213831106198102,0
17,0.415488769323531,0.773861605136176,-0.401516780992019,0.871824242219802,27.4224649615911,129.222071926418,55.642642302706,24.4405158425606,0.25708071579398,0,587.557544183202,19.8604812727561,1.70827061872204,-1.56450980139991,2.31643679505083,42.4848308052865,58.538734380862,0.989574682930805,33.8017637070176,0.185883356905283,0,679.730360677083,19.8706125236763,0.49375976782295,0.333822282361205,0.596016798858403,-34.0619331244158,202.527638978997,0.989070087229989,29.2330807526135,0.214934079659663,0
25.5,0.499670643260286,0.901802559497748,-0.44732102924674,1.00664986938014,26.382786155563,110.889017719903,43.3499197935697,19.5949271866779,0.320653669560527,0,587.83900436432,19.7604812727561,1.71669145825038,-1.57227783270975,2.32789328493818,42.4858445993139,58.2515859325812,0.994583031795463,33.6154646528174,0.186913534353094,0,679.821354166666,19.7706125236763,0.496323644134856,0.335404883552903,0.599027207761417,-34.0499847987446,201.481434909897,0.994073316596746,29.0820704623369,0.21605013698446,0
34,0.566785328250679,0.993718950958285,-0.470523797120683,1.09948624236527,25.3374548963425,100.632074998233,37.2408883754183,16.6701567132553,0.376912191964189,0,588.123228883088,19.6604812727561,1.72521142356506,-1.58012280343825,2.33947484063089,42.4865983135279,57.9639101817184,0.999642336762083,33.4291867881049,0.187955074917207,0,679.910677083333,19.6706125236763,0.498891549966491,0.336988025634446,0.602041284339346,-34.0379839676134,200.444365126482,0.999127423752732,28.9311716769309,0.217177008153792,0
42.5,0.622770403357706,1.0631889931833,-0.479917154690627,1.16648673828401,24.2941318774801,94.0566546880717,33.4194954424182,14.6534212554754,0.428786233442364,0,588.416276141807,19.5604812727561,1.73378707299956,-1.58804599388874,2.351150291497,42.4878337105188,57.677209362851,1.00475337950579,33.2425904344667,0.189010098944186,0,680,19.5706125236763,0.501512127610676,0.3386108749301,0.605121259551765,-34.0264279488444,199.396972664298,1.00423318876755,28.780312534818,0.218315395275096,0
51,0.670756146138954,1.1174401282058,-0.480351258339558,1.21630989945531,23.2613002421498,89.4902531919661,30.7546736143504,13.1520812968422,0.477733156096606,0,588.70714767618,19.4604812727561,1.74242199008386,-1.59603143359052,2.36291149401259,42.4891992509519,57.3913785346493,1.00991695777277,33.0563020163302,0.190075263230461,0,688.5,14.1108435120706,0.713473124470113,0.446640852618449,0.841743399480436,-32.0469513673986,140.159448997142,1.39285707255347,20.4950523051134,0.30657083542119,0
59.5,0.712652877735986,1.16084310754132,-0.474820634419284,1.2541974944946,22.2460754306552,86.1442854338869,28.7703571185263,11.9773592896804,0.52458853034434,0,589.006976832595,19.3604812727561,1.75119227924291,-1.60411499499967,2.37483879791088,42.4900907989154,57.103952081854,1.01513388579539,32.8696977018299,0.191154338082939,0,697,11.7631651907164,0.931952814919882,0.452283657115678,1.0359037386413,-25.887645186219,107.301569778076,1.67091407738335,16.8768510627207,0.372296068966237,0
68,0.74972422282645,1.19627114359648,-0.46528942485657,1.28357270845285,21.2535370459775,83.5930888538856,27.226004745788,11.025356218036,0.569885016222979,0,589.31199129844,19.2604812727561,1.7600365985126,-1.61227326094004,2.38687115195732,42.4910953911741,56.8170003308508,1.02040499472038,32.6829956918393,0.192246309561778,0,705.5,10.5214000339559,1.31559897295458,0.174100619690661,1.32706883145367,-7.53847038878295,76.0110049154413,1.86818626766958,14.9133948036228,0.421311538379795,0
76.5,0.782872123557364,1.22567159096714,-0.453129567766227,1.30675064724986,20.2893031353771,81.5879235000406,25.98464778135,10.2336225301616,0.613974698466854,0,589.627656294077,19.1604812727561,1.7689826410343,-1.62052387587376,2.39904089514072,42.4920751594987,56.5296672111668,1.02573113305033,32.4958998585369,0.193353171770344,0,714,9.87189112727924,1.98906874895906,-0.621898875971527,2.08402320045152,17.3622878393479,50.2747831377539,1.99114925581854,13.8261780494107,0.454441226253946,0
