S0 f (kHz),S0 Phase velocity (m/ms),S0 Energy velocity 1 (m/ms),S0 Energy velocity 2 (m/ms),S0 Energy velocity absolute (m/ms),S0 Skew angle (deg),S0 Propagation time (micsec),S0 Coincidence angle (deg),S0 Wavelength (mm),S0 Wavenumber (rad/mm),S0 Attenuation (Np/m),S1 f (kHz),S1 Phase velocity (m/ms),S1 Energy velocity 1 (m/ms),S1 Energy velocity 2 (m/ms),S1 Energy velocity absolute (m/ms),S1 Skew angle (deg),S1 Propagation time (micsec),S1 Coincidence angle (deg),S1 Wavelength (mm),S1 Wavenumber (rad/mm),S1 Attenuation (Np/m),S2 f (kHz),S2 Phase velocity (m/ms),S2 Energy velocity 1 (m/ms),S2 Energy velocity 2 (m/ms),S2 Energy velocity absolute (m/ms),S2 Skew angle (deg),S2 Propagation time (micsec),S2 Coincidence angle (deg),S2 Wavelength (mm),S2 Wavenumber (rad/mm),S2 Attenuation (Np/m),S3 f (kHz),S3 Phase velocity (m/ms),S3 Energy velocity 1 (m/ms),S3 Energy velocity 2 (m/ms),S3 Energy velocity absolute (m/ms),S3 Skew angle (deg),S3 Propagation time (micsec),S3 Coincidence angle (deg),S3 Wavelength (mm),S3 Wavenumber (rad/mm),S3 Attenuation (Np/m),S4 f (kHz),S4 Phase velocity (m/ms),S4 Energy velocity 1 (m/ms),S4 Energy velocity 2 (m/ms),S4 Energy velocity absolute (m/ms),S4 Skew angle (deg),S4 Propagation time (micsec),S4 Coincidence angle (deg),S4 Wavelength (mm),S4 Wavenumber (rad/mm),S4 Attenuation (Np/m)
0.001,4.55842053592205,4.55864081828834,-8.64339113900518e-06,4.55864081829653,0.00010863541408185,21.936363049008,4.3153203060895,4558420.53592205,1.37836894548578e-06,0,0.001,5.03015623748302,5.03105764582162,-0.000148745474334394,5.03105764802048,0.00169397540209605,19.8765363149937,3.90996085996384,5030156.23748302,1.24910340962362e-06,0,1064.36471088197,20.0506929092305,-0.273730671028836,-0.0553562356416448,0.279271898132107,-11.4326710570522,-365.322598392584,0.980186125960907,18.8381789665084,0.333534643574105,0,1238.99763486368,20.0835891110699,0.982919959906889,-0.0694776080082585,0.985372409598477,4.04322212166467,101.737683716864,0.978580459826573,16.209545963564,0.38762253559125,0,1260.96651379322,20.0990726566846,1.51438150959365,0.139850599675413,1.52082528478083,-5.27620450579267,66.0335584966519,0.977826526188761,15.9394182453131,0.394191632999348,0
8.5,4.5585638512373,4.55841043295816,-9.95975001661228e-05,4.55841043404622,0.00125186542383395,21.9374717285178,4.31518438093412,536.301629557329,0.0117157676965588,0,8.5,5.03099307048321,5.03086357911765,0.000111854060563941,5.03086358036111,-0.00127388975866098,19.8773030568916,3.90930948327354,591.881537703907,0.0106156129342267,0,1064.29624999155,19.9506929092305,-0.273351539111947,-0.0560304251396091,0.279034894728591,-11.5837904973466,-365.829291925246,0.985099651943476,18.7454319315594,0.335184877580833,0,1239.31531171771,19.9835891110699,0.988784983148551,-0.0663690285746936,0.9910098843372,3.84003592143798,101.134222004033,0.983477860059641,16.1247012137471,0.389662122968385,0,1261.48193749354,19.9990726566846,1.52071713492744,0.141413916821546,1.52727813456905,-5.31274737947503,65.7584488944235,0.982716363836948,15.8536337796649,0.396324615195722,0
17,4.55833368480206,4.55771990570912,-0.00039855201866248,4.55771992313491,0.0050102571022344,21.9407954127978,4.3154026828386,268.137275576591,0.0234327185344465,0,17,5.03079880225658,5.03028073129347,0.00044754389041631,5.03028075120245,-0.00509760336844414,19.8796061973039,3.90946067902469,295.929341309211,0.0212320457288296,0,1064.22273494143,19.8506929092305,-0.272933592440201,-0.0567129857820719,0.278763535346055,-11.7384730088202,-366.38949095982,0.990062690112417,18.652761548383,0.33685013829624,0,1239.64071912638,19.8835891110699,0.994575466590641,-0.0662835640512228,0.996781756257269,3.81284362451035,100.54541194626,0.988424528314306,16.0397999229023,0.391724668473464,0,1262.00604762333,19.8990726566846,1.52709690048479,0.1433413470065,1.5338095335575,-5.3623713253379,65.4837292697368,0.987655355139119,15.7678108549159,0.398481778161406,0
25.5,4.55794993293285,4.5565685219209,-0.000897094948699438,4.55656861023071,0.0112803644829647,21.9463395576993,4.31576670237765,178.743134624818,0.0351520371418349,0,25.5,5.03047489917278,5.02930885258767,0.00100745027805453,5.0293089534918,-0.0114772526248886,19.8834477919462,3.90971279347075,197.273525457756,0.0318501192321676,0,1064.15057292905,19.7506929092305,-0.272501076863867,-0.057412457339308,0.27848344142822,-11.8974781751363,-366.971026870316,0.995075992675319,18.5600547626143,0.338532692254544,0,1239.97404703776,19.7835891110699,1.000408197218,-0.0673134939750082,1.00267026859885,3.84940314704951,99.9591969338981,0.993421211843616,15.9548412794058,0.393810580572169,0,1262.53981369497,19.7990726566846,1.53355000245268,0.145106331002266,1.54039977191623,-5.40530182611948,65.2081770011184,0.992644245030446,15.68193924811,0.40066379596113,0
34,4.5574123800993,4.55495552327417,-0.00159559880298165,4.55495580274292,0.020070684115449,21.9541111848483,4.31627671788697,134.041540591156,0.0468749111616385,0,34,5.03002118384838,5.02794724417336,0.00179224785348477,5.02794756360315,-0.0204234906433856,19.8888323889804,3.91006600379385,147.941799524952,0.0424706562131539,0,1064.07308351978,19.6506929092305,-0.272039171364507,-0.0581145049535829,0.278177293183121,-12.0585856077415,-367.594120723185,1.0001403271552,18.4674278614673,0.340230667438512,0,1240.30859375,19.6835891110699,1.0063030753922,-0.0683942442996276,1.00862463394323,3.88817677857307,99.3736404522323,0.998468673089729,15.8699127058031,0.395918076151864,0,1263.07960531533,19.6990726566846,1.54005765626904,0.146497740811934,1.54700975197181,-5.4339013420454,64.93263391337,0.997683793576189,15.5960658170604,0.402869889168232,0
42.5,4.556722800605,4.55287985397643,-0.00249897024239403,4.5528805397898,0.0314483224314511,21.9641201189751,4.31693114885112,107.217007073059,0.058602506064156,0,42.5,5.02944127894938,5.0261943816454,0.00260390174455611,5.02619505614218,-0.0296830077697037,19.8957685292035,3.91051754373343,118.339794798809,0.0530944414586971,0,1064.00303659614,19.5506929092305,-0.271555316902411,-0.0588374112146356,0.277856313760204,-12.2252085046629,-368.249096135124,1.0052564767823,18.3746589406129,0.341948404456753,0,1240.65071614583,19.5835891110699,1.01228836658347,-0.0692285505798442,1.01465281221491,3.91226205178113,98.7860804303275,1.00356769007183,15.784933548346,0.398049525386691,0,1263.62315702851,19.5990726566846,1.54664109034199,0.148113804227887,1.55371695019946,-5.470238323359,64.6562415963541,1.00277477635779,15.5102195996258,0.405099700028178,0
51,4.55587698825653,4.55034012700564,-0.00356801669236111,4.55034152588361,0.0449268076892015,21.9763791736169,4.31773412062236,89.3309213383632,0.0703360629560782,0,51,5.02872455273827,5.02405068736388,0.00408943294874936,5.02405235170409,-0.0466371084606518,19.9042577837665,3.91107576311061,98.6024422105543,0.0637224105845427,0,1063.92781842311,19.4506929092305,-0.270948782628634,-0.0595314048130885,0.277411663357831,-12.3918205736642,-369.073442699543,1.01042524089798,18.281966663922,0.343682133475222,0,1241,19.4835891110699,1.0183403608536,-0.0702169814147089,1.02075830392039,3.94443651651003,98.198994996307,1.00871905678599,15.6999106455035,0.400205163522959,0,1264.17935194969,19.4990726566846,1.55327819740232,0.150170943896369,1.5605205768961,-5.52219356888062,64.3799675854837,1.00791798487089,15.424292942779,0.407356455851099,0
59.5,4.55487126451092,4.54733466938364,-0.00490709515934652,4.54733731704185,0.0618286872656303,21.9909039625522,4.31868929346613,76.5524582270742,0.0820768588324368,0,59.5,5.0278790397861,5.02151288981274,0.0055428482105599,5.02151594896619,-0.0632442227935906,19.9143170981145,3.91173449262403,84.5021687359009,0.0743553142028432,0,1063.84704723059,19.3506929092305,-0.27054736293423,-0.0603105113105329,0.277188083014411,-12.566919194049,-369.621048660193,1.01564743537116,18.1893562233446,0.345431978461977,0,1249.5,17.4740558426681,1.15878897618673,-0.0942901733717634,1.16261882322899,4.65188490856749,86.2969894044679,1.12473685496961,13.9848386095783,0.449285507154597,0,1264.74900817871,19.3990726566846,1.55998247996708,0.151699575996869,1.56734109215635,-5.55423039711777,64.1032840331067,1.01311422693561,15.3382786080378,0.409640838306781,0
68,4.55371311076012,4.54386148677637,-0.00639818996704497,4.54386599140472,0.0806778640631888,22.0077131072375,4.31978975886559,66.9663692758841,0.0938259812368578,0,68,5.02690537877713,5.01857985272617,0.00745042014395982,5.01858538304863,-0.0850593850793046,19.9259557354016,3.91249333598755,73.9250790996636,0.0849939612334913,0,1063.77403372323,19.2506929092305,-0.270011076136157,-0.0610696261443702,0.276831140722316,-12.7444198668285,-370.355177391217,1.02092389302769,18.0965997467081,0.347202535013382,0,1258,16.0345545287621,1.28809852309101,-0.120606558634571,1.29373248671235,5.34909288702896,77.6338131030795,1.22572482032673,12.7460687827998,0.492950839529318,0,1265.32161458333,19.2990726566846,1.56675741409817,0.15385823084211,1.57429385752134,-5.60855983873155,63.8260901784598,1.0183643271196,15.2523061601534,0.411949854743566,0
76.5,4.55240385413714,4.53991835391907,-0.00811531578409172,4.53992560716599,0.102418768874389,22.0268278423279,4.32103447680706,59.5085471129038,0.105584585946262,0,76.5,5.02579327534343,5.01524912659592,0.00913164307612222,5.01525743992533,-0.104322640191124,19.9391889566759,3.91336043794136,65.6966441221364,0.0956393647063393,0,1063.69562995694,19.1506929092305,-0.269447937839299,-0.0618400881110829,0.276453228780995,-12.9259138372229,-371.129208862756,1.02625546409326,18.0039217703712,0.34898981384821,0,1266.5,14.9422538915738,1.409175862353,-0.149015357103989,1.41703288165489,6.03639220872261,70.9634635900041,1.31534230701698,11.7980686076382,0.532560499191518,0,1265.9072265625,19.1990726566846,1.57359791443075,0.155673477452154,1.58127942751521,-5.64979477961388,63.5486353171581,1.02366912717441,15.1662556732681,0.414287180866551,0
