A0 f (kHz),A0 Phase velocity (m/ms),A0 Energy velocity (m/ms),A0 Propagation time (micsec),A0 Coincidence angle (deg),A0 Wavelength (mm),A0 Wavenumber (rad/mm),A0 Attenuation (Np/m),A1 f (kHz),A1 Phase velocity (m/ms),A1 Energy velocity (m/ms),A1 Propagation time (micsec),A1 Coincidence angle (deg),A1 Wavelength (mm),A1 Wavenumber (rad/mm),A1 Attenuation (Np/m)
0.001,0.00288033113479614,0.23500417876775,425.524348223731,90,2880.33113479614,0.00218141075214405,0,685.334147135416,20.0306962109944,0.802249128319614,124.649558933718,0.981164744037315,29.2276348620879,0.214974127630481,0
8.5,0.262468905544281,0.513038255294211,194.917238564702,90,30.8786947699154,0.203479627425871,0,685.482421874999,19.9306962109944,0.806035529796791,124.064009963941,0.986088111375427,29.0754300547605,0.216099479710046,0
17,0.366926874283546,0.701589607643884,142.533468156442,69.1944322455363,21.5839337813851,0.291104734235169,0,685.623860677083,19.8306962109944,0.809833487809994,123.482174428754,0.991061140109919,28.9235794556664,0.217234015478974,0
25.5,0.444278157036319,0.831694692844859,120.236429137169,50.5373310134758,17.4226728249537,0.360632686517563,0,685.772135416666,19.7306962109944,0.813682262846207,122.898094951961,0.996084585480186,28.7715046908494,0.218382228343376,0
34,0.507222947836451,0.930410478033836,107.479443064014,42.5498357397625,14.9183219951897,0.421172388503582,0,685.927246093749,19.6306962109944,0.817570195002838,122.313656504629,1.00115921811845,28.6192104524032,0.219544327319204,0
42.5,0.560756003419355,1.00871164722398,99.1363590132073,37.7106598295919,13.1942589039848,0.476206003906895,0,686.075520833333,19.5306962109944,0.821484179203742,121.73088968911,1.00628582444394,28.467268715945,0.22071612734875,0
51,0.607483884959579,1.07245649799082,93.2438753341915,34.376187436828,11.9114487246976,0.527491277710981,0,686.230631510416,19.4306962109944,0.825436154796997,121.148073559479,1.01146520706928,28.3151105747448,0.221902199201856,0
59.5,0.648963293355002,1.12526590629755,88.8678839733351,31.9065433384864,10.9069461068068,0.576071912857294,0,686.392578125,19.3306962109944,0.829423485592404,120.565672104855,1.01669818521942,28.1627407216429,0.223102764368064,0
68,0.686252101729276,1.16955170921574,85.5028462718048,29.9878485652975,10.0919426724894,0.622594232952547,0,686.554524739583,19.2306962109944,0.833477709954897,119.979213367819,1.02198559516375,28.0104427514898,0.224315815459411,0
76.5,0.720069550547101,1.20704924942435,82.8466610187535,28.4468205561505,9.41267386336079,0.667523957420551,0,686.716471354166,19.1306962109944,0.837516292510243,119.40066228476,1.0273282906617,27.8582166134296,0.225541548275228,0
85,0.750965847970917,1.23902736909747,80.7084673786034,27.1772758236715,8.83489232906961,0.711178481089792,0,686.87841796875,19.0306962109944,0.841611552383137,118.819661774885,1.03272714342238,27.7060622566543,0.226780162730289,0
93.5,0.779351255500946,1.26647472691711,78.9593332378793,26.1108767682954,8.33530754546467,0.753803656662715,0,687.047200520833,18.9306962109944,0.84575103979531,118.238104707743,1.03818304357885,27.5537054756114,0.228034131842667,0
102,0.805568429539531,1.29015066901407,77.5103268181999,25.2004437119835,7.89772970136795,0.795568542449774,0,687.222819010416,18.8306962109944,0.849934934324,117.65606514284,1.04369690017748,27.4011509660144,0.229303700234075,0
110.5,0.82986300014749,1.31067750432918,76.2964189662973,24.4136410544866,7.51007239952479,0.836634452096249,0,687.3916015625,18.7306962109944,0.854142557230075,117.076475295053,1.04926964168298,27.2489453877788,0.23058453153925,0
119,0.852464928400164,1.32854609200291,75.270252648322,23.7259589672956,7.16357082689214,0.877102419870329,0,687.574055989583,18.6306962109944,0.858412149530162,116.494157328427,1.05490221649973,27.0962757374264,0.23188372335985,0
127.5,0.873561119062031,1.34415304731002,74.3962900654239,23.1192218500417,6.85145975734926,0.917057901484408,0,687.749674479167,18.5306962109944,0.862701075075495,115.915005659694,1.06059559350995,26.9439548990375,0.233194619376535,0
136,0.893296950505498,1.35784619032923,73.6460437951029,22.5798649606097,6.56835993018748,0.956583587678065,0,687.93212890625,18.4306962109944,0.86704497488833,115.334270881253,1.06635076262946,26.7914456042307,0.23452207096236,0
144.5,0.911802303932638,1.36989957897275,72.9980514885531,22.0971413859835,6.31005054624663,0.995742468484183,0,688.121419270833,18.3306962109944,0.871434612322624,114.75330287085,1.07216873538158,26.6387525480873,0.23586634906561,0
153,0.929199075548941,1.380547610602,72.4350245019035,21.6622869711217,6.0731965722153,1.03457631125015,0,688.310709635417,18.2306962109944,0.875857722310854,114.17379495857,1.07805054548996,26.4861434753075,0.237225374582648,0
161.5,0.945590839576449,1.38998590525797,71.9431755543167,21.2683290084599,5.85505163824427,1.07312209957959,0,688.5,18.1306962109944,0.880319664129757,113.595099683313,1.08399724949103,26.3336183166222,0.238599391531909,0
170,0.961050662186011,1.398386067541,71.5110099572471,20.9100010197075,5.65323918932948,1.11143100384628,0,697,14.9051346563707,1.05139923936058,95.111349006507,1.31861856803382,21.3846982157399,0.293816879891947,0
178.5,0.975671630895433,1.4058829410022,71.1296773604166,20.582314866102,5.46594751201923,1.1495143876452,0,705.5,12.9794515835939,1.18543287574911,84.3573702448624,1.51429668348863,18.3975217343642,0.341523461578166,0
187,0.989508186061423,1.41260603977836,70.791145715114,20.2817471999401,5.29148762599692,1.18741377685747,0,714,11.6658577290319,1.29486704631601,77.2280059829362,1.68485553797603,16.3387363151707,0.384557605066775,0
195.5,1.00262774688318,1.41865098438776,70.4895010122285,20.0049328893432,5.12853067459427,1.22514336090554,0,722.5,10.6971775991382,1.38630372420988,72.1342648466118,1.83747734481516,14.8057821441359,0.424373751147498,0
204,1.01509148981474,1.42410588382181,70.2194978168579,19.7490173835035,4.97593867556244,1.26271357362928,0,731,9.94515150257827,1.46378801539984,68.3159029503906,1.97647572914281,13.6048584166597,0.461833935697968,0
212.5,1.02693980500999,1.42905015105248,69.9765504565048,19.5118645442326,4.83265790592936,1.3001510616902,0,739.5,9.33955511285175,1.53003440231248,65.3580075381711,2.10469048806624,12.629553905141,0.497498593724832,0
221,1.038224775629,1.43354627117141,69.7570786594045,19.2913327962643,4.69784966347964,1.3374598502,0,748,8.83831485166356,1.58698152912222,63.012705671068,2.22411048838178,11.8159289460743,0.53175550867434,0
229.5,1.0489800744703,1.43765089489781,69.5579158715777,19.0858357400101,4.5707192787377,1.37466007514572,0,756.5,8.41447311521244,1.63608155100691,61.1216475966349,2.33620081680501,11.1228990287012,0.564887381515075,0
238,1.05924369125398,1.44141204228743,69.3764149779868,18.8938549837725,4.45060374476462,1.41176021670558,0,765,8.04989776889384,1.67845844660564,59.5784782174564,2.44206876406386,10.5227421815606,0.597105317109248,0
246.5,1.06905063221763,1.44487017265303,69.2103705181917,18.7140600524686,4.3369194004772,1.44876690733248,0,773.5,7.73184031137769,1.71501122123258,58.3086563877583,2.54259054276796,9.99591507611854,0.628575298942954,0
255,1.07843318834588,1.44806079047831,69.0578742671216,18.5452804020788,4.22914975821913,1.48568522430981,0,782,7.45108162086727,1.74647221320444,57.2582828652735,2.63846256013118,9.52823736683795,0.659427873726947,0
263.5,1.08740972443659,1.45101532177801,68.9172598656396,18.3866828646727,4.12679212309903,1.52253496656895,0,790.5,7.20075812029973,1.7734510215679,56.3872352739636,2.73025305103006,9.10911843175171,0.689768758003875,0
272,1.09601972594206,1.45376191012241,68.787054677736,18.2371359342302,4.0294842865517,1.55930259565711,0,799,6.97563710202452,1.79646274072446,55.664945190944,2.8184350761563,8.73045945184546,0.719685526499002,0
280.5,1.10427815939289,1.45632668452982,68.6659120252852,18.0960045424168,3.93682053259499,1.59600501347669,0,807.5,6.77167099206314,1.81595001547993,55.0675950040241,2.90339941923918,8.38597026880885,0.749249652189866,0
289,1.11220442074631,1.45870689865474,68.5538678758719,17.9626253527081,3.84845820327443,1.63265000561357,0,816,6.58563358701408,1.83229374157026,54.5764020971336,2.98549076574245,8.07062939585059,0.778524821175658,0
297.5,1.11982396519921,1.46094488524041,68.4488518425829,17.8362802961737,3.76411416873683,1.66923345720093,0,824.5,6.41496213289382,1.84583228516465,54.1761029990218,3.06499525991179,7.78042708659044,0.807563034426305,0
306,1.12714866155743,1.46304781783085,68.350465911813,17.7165174434616,3.68349235803082,1.70576851978011,0,833,6.2575832221138,1.85686095050154,53.8543287115762,3.14215664937392,7.51210470841992,0.836408110783799,0
314.5,1.13420780190755,1.46502702037398,68.2581267166477,17.6026345386088,3.60638410781415,1.74223962820973,0,841.5,6.11177765847566,1.86564184215515,53.6008561452942,3.21719543710886,7.26295621922242,0.865100259113537,0
323,1.14100239683683,1.46689156347443,68.1713648711318,17.4944169523119,3.53251516048555,1.77867185892444,0,850,5.9761291338854,1.87241443654202,53.4069798055395,3.29030008698,7.03074015751224,0.893673378110283,0
331.5,1.1475506545232,1.4686555103177,68.0894868112183,17.3913953177776,3.46169126553001,1.81506229909778,0,858.5,5.84944951284857,1.87739008681741,53.2654351922792,3.36163804896774,6.81356961310259,0.922157644811749,0
340,1.15386949937314,1.47032386189486,68.0122268240455,17.293145606199,3.3937338216857,1.85140781137004,0,867,5.73074551206739,1.88076138747698,53.1699558837439,3.43135197559215,6.60985641530264,0.950578183912321,0
348.5,1.15997468211084,1.47190229073055,67.9392923224321,17.1992837982715,3.32847828439266,1.88770506229277,0,875.5,5.61916342856711,1.88270493761713,53.1150675827974,3.49957379996032,6.41823349922,0.978958666421714,0
357,1.16586597477949,1.47339945853082,67.8702570582684,17.1096867562,3.26573102179128,1.92397514224341,0,884,5.51397169822033,1.88337855426357,53.0960702369799,3.56642178998811,6.23752454549811,1.00732033378761,0
365.5,1.17156525388093,1.47481919590905,67.8049216320119,17.0239078684111,3.2053768916031,1.96020172343515,0,892.5,5.41455517878896,1.88292833239294,53.1087658938745,3.63199183222532,6.0667284916403,1.03567933126356,0
374,1.17707182054206,1.4761670521418,67.7430104234533,16.941855281028,3.14725085706432,1.99640435177779,0,901,5.32035914543343,1.88149173187707,53.1493167393487,3.69638419599691,5.90494910702933,1.06405409992442,0
382.5,1.18240563480671,1.47744567557482,67.6843836989767,16.8631391679935,3.09125656158616,2.03256675141697,0,909.5,5.23092047637575,1.87918646342958,53.2145169976887,3.75967534885846,5.75142438304095,1.09245725731988,0
