S0 f (kHz),S0 Phase velocity (m/ms),S0 Energy velocity (m/ms),S0 Propagation time (micsec),S0 Coincidence angle (deg),S0 Wavelength (mm),S0 Wavenumber (rad/mm),S0 Attenuation (Np/m),S1 f (kHz),S1 Phase velocity (m/ms),S1 Energy velocity (m/ms),S1 Propagation time (micsec),S1 Coincidence angle (deg),S1 Wavelength (mm),S1 Wavenumber (rad/mm),S1 Attenuation (Np/m),S2 f (kHz),S2 Phase velocity (m/ms),S2 Energy velocity (m/ms),S2 Propagation time (micsec),S2 Coincidence angle (deg),S2 Wavelength (mm),S2 Wavenumber (rad/mm),S2 Attenuation (Np/m)
0.001,6.56587179660797,6.56592543157341,15.230145551019,2.99448459632627,6565871.79660797,9.56946084513191e-07,0,1064.46018229167,20.0040274771832,-0.271504952818105,-368.317406227926,0.982472929831569,18.7926498425866,0.334342700992654,0,1292.54231770833,20.0381550875001,2.51166519235275,39.8142237685457,0.980799485774603,15.5029006114303,0.405290949394785,0
8.5,6.56582562685013,6.56562552238905,15.2308412441428,2.99450567222072,772.450073747074,0.00813409891554611,0,1064.381640625,19.9040274771832,-0.271265994704702,-368.641856893486,0.987409468240771,18.7000853053945,0.335997681538226,0,1293.4716796875,19.9381550875001,2.52571920165816,39.5926831194652,0.985719178779153,15.414450428723,0.407616563187462,0
17,6.56552542209625,6.56472488309785,15.2329308205237,2.99464271902912,386.207377770368,0.0162689416847843,0,1064.31184895833,19.8040274771832,-0.271028964682972,-368.964254860996,0.9923958679758,18.6073541289293,0.337672151754825,0,1294.42252604167,19.8381550875001,2.53990261255013,39.3715883065285,0.990688477453922,15.3258728802913,0.409972427427584,0
25.5,6.56502492189407,6.56322325047661,15.2364160388325,2.99487123084218,257.451957721336,0.0244052729790482,0,1064.24205729167,19.7040274771832,-0.270777991532289,-369.30623288147,0.997432888343248,18.5146107900744,0.339363618194339,0,1295.3876953125,19.7381550875001,2.5543417976579,39.1490285644979,0.995708135905643,15.2372568914501,0.412356722206684,0
34,6.56432388305664,6.56111977372769,15.2413007914326,2.99519136061944,193.068349501666,0.0325438391294963,0,1064.163515625,19.6040274771832,-0.27050437491493,-369.679788104901,1.00252130414649,18.4220067586789,0.341069536532413,0,1296.37434895833,19.6381550875001,2.56891626562932,38.9269207945563,1.00077892360495,15.1485218010367,0.414772173133723,0
42.5,6.56341883096378,6.55841231944704,15.2475927296427,2.99560475443646,154.433384257971,0.0406854083873725,0,1064.09372395833,19.5040274771832,-0.270232718941522,-370.05141491264,1.00766190608309,18.3292383349749,0.342795766651708,0,1297.37532552083,19.5381550875001,2.58370678570071,38.7040822718124,1.00590162577966,15.0597554178522,0.417216955577602,0
51,6.56231668256555,6.55510215920419,15.255292377036,2.99610832863683,128.672876128736,0.0488306898564489,0,1064.01518229167,19.4040274771832,-0.269933925049535,-370.461030348999,1.01285550115445,18.2366077102312,0.344536955941349,0,1298.39778645833,19.4381550875001,2.59872360557745,38.4804293097493,1.01107704382025,14.9708781778826,0.419693837096486,0
59.5,6.56101326292662,6.55118463153802,15.2644148538557,2.99670408279112,110.269130469355,0.05698045573077,0,1063.945390625,19.3040274771832,-0.26963165925992,-370.876329116834,1.01810291308828,18.1438141912936,0.346299032878909,0,1299.44173177083,19.3381550875001,2.61393064262986,38.2565621172682,1.01630599569785,14.8818947511765,0.422203315655276,0
68,6.55950236535688,6.54665841949311,15.2749683261683,2.99739496560365,96.4632700787777,0.0651355205152009,0,1063.86684895833,19.2040274771832,-0.269312456350227,-371.315910727705,1.02340498277418,18.0511569619699,0.348076598104873,0,1300.5,19.2381550875001,2.62934893737708,38.0322286549595,1.0215893163953,14.7928912629759,0.424743560638842,0
76.5,6.55779522816139,6.5415211035206,15.2869643646308,2.99817596580768,85.7228134400182,0.0732965363015768,0,1063.78830729166,19.1040274771832,-0.268970198794704,-371.788400529558,1.028762568713,17.9584860505008,0.349872772655264,0,1309,18.4991272127926,2.75042808312208,36.3579766413988,1.06240572079591,14.132259138879,0.44459878958022,0
85,6.55587886663188,6.53576955612782,15.3004170574285,2.99905316953421,77.1279866662574,0.0814644019474763,0,1063.709765625,19.0040274771832,-0.268619898011568,-372.273240888855,1.03417654748029,17.8658014538553,0.351687850299249,0,1317.5,17.8556226751109,2.86731485091856,34.8758351277553,1.10069873172202,13.5526547818679,0.463612879417978,0
93.5,6.55376132457071,6.52940079476526,15.3153410463287,3.00002305994744,70.0937040061038,0.089639795703084,0,1063.63122395833,18.9040274771832,-0.26825073924595,-372.785552357093,1.03964781420458,17.7731031690019,0.353522131022009,0,1326,17.2896156725779,2.98046061352531,33.5518609258584,1.13673675939442,13.0389258465896,0.481879058221883,0
102,6.55143388942437,6.52241097922387,15.331753904888,3.00108981122444,64.2297440139644,0.0978236081061375,0,1063.55268229166,18.8040274771832,-0.26787095258449,-373.314086634529,1.0451772830608,17.680391192908,0.35537592119002,0,1334.5,16.7874695069967,3.09021102627869,32.3602495588861,1.17074345141661,12.5795949846359,0.499474372176015,0
110.5,6.54890303099132,6.51479646427711,15.3496737078947,3.00225066078152,59.2660907782019,0.106016530273506,0,1063.474140625,18.7040274771832,-0.267473608300962,-373.868661791408,1.05076588777967,17.5876655225401,0.357249533721639,0,1343,16.3386365159712,3.19684049245203,31.2808850601421,1.2029091997886,12.1657755144983,0.516464018236384,0
119,6.54615838422383,6.50655262762043,15.3691218258188,3.00351058632697,55.0097343212086,0.114219517412887,0,1063.39559895833,18.6040274771832,-0.267063699857943,-374.442502119128,1.0564145821734,17.4949261548638,0.359143288263196,0,1351.5,15.9348248112794,3.30056585492423,30.2978350972172,1.23339732495873,11.7904734082718,0.532903564565228,0
